Dive Shop,Address,Website,City,State,Country,Region,Phone Number,Email,Dive Courses,Rental Gear,Gases,Type,Dive Sites,Helper,Notes,
La Galigo Liveaboard,"Jl. Bypass Ngurah Rai No.106, Pedungan, Denpasar Selatan, Kota Denpasar, Bali 80221, Indonesia",https://www.lagaligoliveaboard.com/,Denpasar,Bali,Indonesia,Southeast Asia, +62 812-2000-2025 , nick@lagaligoliveaboard.com ,"Open Water Diver, Open Water Scuba Diver, Discover Scuba Diving, Try Scuba / Intro Scuba, Advanced Open Water Diver, Advanced Adventurer, Rescue Diver, Deep Diver, Night Diver, Underwater Navigator, Divemaster",,Nitrox,Liveaboard,"Bangka, Halmahera, Komodo, Lembeh Strait, Raja Ampat, Sangihe Archipelago",,,
La Paz Divers,"Mariano Abasolo 2635, entre Antonio Navarro y Manuel Encinas, Barrio Manglito, 23060 La Paz, B.C.S., Mexico",https://lapazdivers.com/,La Paz,B.C.S.,Mexico,North America, +52 612 197 5824 , info@lapazdivers.com ,"Discover Scuba Diving, Try Scuba / Intro Scuba, Advanced Open Water Diver, Advanced Adventurer, Rescue Diver","Wetsuit, Regulator, Drysuit, Dive Computer, Mask, Fins, BCD, Snorkel",,Dive Shop,"El Bajo Seamount, Fang Ming, Isla Las Animas, La Paz, La Reyna, La Reynita, Lobos, Los Islotes (Sea Lions), Salvatierra, San Francisco Wall (Cozumel), San Rafaelito, Swanee Reef",,,
Lancaster Scuba Center,"201 Greenfield Rd, Lancaster, PA 17601, United States",https://www.lancasterscuba.com/,Lancaster,Pennsylvania,United States,North America, +1 717-397-2822 , info@lancasterscuba.com ,"Try Scuba / Intro Scuba, Open Water Diver, Scuba Diver, Wreck Diver, Advanced Adventurer, Stress & Rescue Diver, Deep Diver, Enriched Air Nitrox, Divemaster, Discover Scuba Diving, Introductory Scuba","Wetsuit, Regulator, Fins, Mask, BCD, Snorkel, Dive Computer",Nitrox,Dive Shop,"Beqe Lagoon, Bonaire Island, Cooper River, Cozumel, Destination Diving, Great Isaac, Gulftrade, Krk, Lake Hydra, Murrells Inlet, Palau, Pinta, Saint Lucia, The Stolt Dagali, Truk Atoll, USS Algol (AKA-54), Lake Allure, Willow Springs",,,
Langebaan Divers,"Club Mykonos Resort, Mykonos Access Road, Langebaan, 7357, South Africa",https://langebaandivers.co.za/,Langebaan,WC,South Africa,Southern Africa, +27 72 986 3937 , langebaandivers@gmail.com ,,,Nitrox,Dive Resort,"Dial Rock, Slipways, Barrack Rock, Paaltjies, Jutten Island, Needles, Seven Blinders, North Cardinal Wall, Cuttlefish Alley, Langebaan Divers Wall, Lynch Blinder, Yacht Club",,,
Lanta Diver,"259/2 Moo 3, Saladan, Koh Lanta, Krabi 81150, Thailand",https://lantadiver.com/,Koh Lanta,Krabi,Thailand,Southeast Asia, +66 87 891 4141 , scuba@lantadiver.com ,"Open Water Diver, Open Water Scuba Diver, Discover Scuba Diving, Try Scuba / Intro Scuba, Advanced Open Water Diver, Advanced Adventurer, Rescue Diver, Divemaster, Wreck Diver, Deep Diver","Wetsuit, Regulator, Fins, Mask, BCD, Boots, Snorkel",Nitrox,Dive Shop,"HTMS Kled Kaew, Hin Daeng, Hin Muang, Koh Bida Nok, Koh Haa - Cathedral, Koh Ma, Koh Waen Train, Koh Rok",,,
Poseidon Diving & Snorkeling in Nice,"Quai Lunel / Quai A. Infernet, Port de Nice, 06300 Nice",https://poseidon-nice.com,Nice,Provence-Alpes-Côte d'Azur,France,Europe,(+33)492004386, tlo@poseidon-nice.com ,"Open Water Diver, Enriched Air Nitrox, Advanced Adventurer, Rescue Diver, Discover Scuba Diving, Dry Suit Diver, Advanced Open Water Diver, Divemaster","Wetsuit, Regulator, Gloves, BCD, Drysuit, Hood, Fins, Mask, Snorkel, Boots",Nitrox,Dive Resort,,,Another vague site for review - no dive sites,
Les Aquanautes,"Quai Notre Dame, 40130 Capbreton",https://www.les-aquanautes.com,Capbreton,Saint-Paul,France,Europe, +262 692 68 99 33 , Lesaquanautes@yahoo.fr ,"Open Water Diver, Advanced Adventurer, Advanced Open Water Diver, Wreck Diver, Deep Diver, Enriched Air Nitrox, Night Diver, Underwater Navigator, Dry Suit Diver, Marine Ecology, Divemaster, Divemaster / Assistant Instructor, Open Water Scuba Instructor, Try Scuba / Intro Scuba","BCD, Drysuit, Mask, Regulator",Nitrox,Dive Shop,,,"Needs review - vague site - Has some ""dive sites"" but.....",
Leucate Plongée,"Leucate FR, Av. du Rec de l'Entrée, 11370 Port, France",https://www.leucateplongee.fr,Port-Leucate,Occitanie,France,Europe, +33 6 09 95 71 70 , info@leucateplongee.fr ,"Open Water Diver, Discover Scuba Diving, Advanced Open Water Diver, Rescue Diver, Deep Diver, Enriched Air Nitrox, Wreck Diver, Night Diver, Underwater Navigator, Dry Suit Diver, Divemaster","Wetsuit, Regulator, BCD, Hood, Mask, Drysuit",Nitrox,Dive Shop,"La Faille, Les Rochers de la Sorcière, La Marche, Les Récifs Artificiels, L'Oasis, Le Japonais, La Barge",,,
Lighthouse Diving Center,"13718 31st Ave W, Lynnwood, WA 98087, United States",https://lighthousediving.com/,Edmonds,Washington,United States,North America, +1 478-778-3483 , lynnwood@lighthousediving.com ,"Open Water Diver, Scuba Diver, Open Water Scuba Diver, Discover Scuba Diving, Try Scuba / Intro Scuba, Introductory Scuba, Advanced Open Water Diver, Advanced Adventurer, Rescue Diver, Open Water 20, Deep Diver, Enriched Air Nitrox, Night Diver, Wreck Diver, Underwater Navigator, Divemaster, Advanced Nitrox, Trimix Diver","Snorkel, Regulator, BCD, Fins, Wetsuit, Mask",Nitrox,Dive Shop,,,"Mainly a equipment shop, it offers some ""Dive sites"" - Review",
Liquid Blue Divers,"C. 21 Sur #280, Corpus Christi, 77664 Cozumel, Quintana Roo, Mexico",https://liquidbluedivers.com/,Cozumel,Quintana Roo,Mexico,North America, +52 987 564 9792 , info@liquidbluedivers.com ,"Open Water Diver, Scuba Diver, Open Water Scuba Diver, Discover Scuba Diving, Try Scuba / Intro Scuba, Introductory Scuba, Advanced Open Water Diver, Advanced Adventurer, Rescue Diver, Deep Diver, Enriched Air Nitrox, Night Diver, Underwater Navigator, Divemaster, Divemaster / Assistant Instructor","Wetsuit, Regulator, Fins, Mask, BCD, Snorkel",Nitrox,Dive Shop,Cozumel,,,
Liquid Salt Divers,"Dhigu Magu, Dharavandhoo, Baa Atoll, Maldives",https://www.liquidsaltdivers.com/,Dharavandhoo,Baa Atoll,Maldives,South Asia, +960 777-1972 , dive@liquidsaltdivers.com ,,"Wetsuit, Regulator, Fins, Mask, BCD, Dive Computer, Snorkel, Boots",Nitrox,Dive Shop,"Baa, Hanifaru",,,
Little Cayman Divers,"P.O. Box 42, Little Cayman KY3-2501, Cayman Islands",https://www.littlecaymandivers.com/,Little Cayman,Sister Islands,Cayman Islands,Caribbean, +1 345-938-1026 , hello@littlecaymandivers.com ,"Open Water Diver, Advanced Open Water Diver, Rescue Diver, Deep Diver, Wreck Diver, Night Diver, Underwater Navigator, Divemaster, Open Water Scuba Instructor, Master Scuba Diver Trainer, Discover Scuba Diving, Junior Open Water Diver","Wetsuit, Regulator, Fins, Mask, BCD, Snorkel, Dive Computer",Nitrox,Dive Shop,"Bus Stop, Sarah's Set, Blacktip Blvd, Ann's Attic, Mixing Bowl, Marylin's Cut, Donna's Delight, Randy's Gazebo, Ringer's Wall, Great Wall East, Great Wall West, Lea Lea's Lookout, Coconut Walk, Barracuda Bite, Joy's Joy, Dottie's Hot Spot, Tibbetts Top, McCoy's Wall, Jigsaw Puzzle, Paradise Plunge, Bush Gardens, Martha's Finyard, Ron's Rocks, Lighthouse Shallows, Lighthouse Wall, Pirate's Point Reef, Richard's Reef, Dynamite Dropoff, Charlie's Chimney, Rock Bottom Wall, Snap Shot, Crystal Palace Wall, Blacktip Tunnels, Cumber's Caves, Jackson Wall & Reef, Eagle Ray Roundup, The Meadows, Mike's Mountain, Nancy's Cup Of Tea, Paul's Anchors, Cascades, Penguin’s Leap, Booby Pass, Sailfin Reef, Disneyland, Lappy's Leap, The Edge, Grundy's Reef, Divers Delight, Soto Trader, Howard's Hole, Grundy's Gardens, Uncle Luky's, Windsock Reef, Gay's Reef, Black Hole, Splitville, Coral City, Lucas's Ledges, Rock House Wall",,,
Living Ocean Scuba,"1125 Ala Moana Blvd Slip B-01, Honolulu, HI 96814, United States",https://www.livingoceanscuba.com/,Honolulu,Hawaii,United States,North America, +1 808-436-3483 , info@livingoceantours.com ,,"Snorkel, Mask, Fins",,Dive Shop,,,Snorkeling only,
Living The Dream Divers,"245 North Church Street, George Town KY1-1206, Cayman Islands",https://www.livingthedreamdivers.com/,Grand Cayman,George Town,Cayman Islands,Caribbean, +1 345-526-3483 , dive@livingthedreamdivers.com ,"Open Water Diver, Advanced Open Water Diver, Rescue Diver, Night Diver, Divemaster, Discover Scuba Diving, Junior Open Water Diver","Wetsuit, Regulator, Mask, BCD, Snorkel",,Dive Resort,"Eagle Ray Roundup, Grand Cayman, Kittiwake, Eagle Ray Pass, Princess Pennies Pinnacle, Lemon Reef, Roberts Wall, Roundabout, Trinity Caves, Round Rock, Big Tunnels, Bonnie’s Arch, Bolero, Victoria’s Secret, Laura’s Reef, Red Bay Caves, Charlies Caverns, Ned’s Tunnels, Sky’s Arch",,,
Living Underwater,"Carr. Costera Sur, Caleta, 77600 San Miguel de Cozumel, Quintana Roo, Mexico",https://www.living-underwater.com/,Cozumel,Quintana Roo,Mexico,North America,011-52-987-116-1964, jeremy@living-underwater.com ,"Open Water Diver, Advanced Open Water Diver, Rescue Diver, Deep Diver, Wreck Diver, Night Diver, Underwater Navigator, Dry Suit Diver, Divemaster, Open Water 20, Open Water Scuba Instructor, Master Scuba Diver Trainer, Course Director, Discover Scuba Diving, Junior Open Water Diver","Wetsuit, Regulator, Fins, Mask, BCD, Snorkel, Dive Computer",Nitrox,Dive Shop,"Barracuda Reef, San Juan Reef, Cantarell Eagle Ray Wall, Buttermilk Wall, Villa Blanca Wall, Paraiso Reef, Las Palmas, Chankanaab Reef, Chankanaab Bolones, C53 – Felipe Xicotencatl, Tormentos Reef, Yucab Reef, Punta Tunich Wall, Cardona, San Clemente, San Francisco Wall, Paso del Cedral Reef, La Francesa, Punta Dalila, Palancar Gardens, Palancar Horseshoe, Palancar Bricks, Colombia Shallows, Colombia Reef, Colombia Deep, Devil's Throat, Punta Sur Reef, Maracaibo Shallows, Chun Chakaab Reef, Bajo de Molas, Punta Molas, Los Atolones, Punta Morena, Chen Rio, Punta Chiquero, El Mirador, El Islote",,https://www.living-underwater.com/images/lu-photos/reef-map-red.png,
Local Dive Thailand,"95/13 Moo 7, Tambon Rawai, Amphur Muang, Phuket 83130, Thailand",https://localdivethailand.com/,Phuket,Phuket,Thailand,Southeast Asia, +66 80 696 1461 , info@localdivethailand.com ,"Try Scuba / Intro Scuba, Open Water Diver, Advanced Open Water Diver, Rescue Diver, Junior Open Water Diver, Deep Diver, Enriched Air Nitrox, Wreck Diver, Night Diver, Underwater Navigator, Dry Suit Diver","Wetsuit, Regulator, Fins, Mask, BCD, Snorkel, Dive Computer",Nitrox,Liveaboard,"King Cruiser Wreck, Koh Bida Nai, Koh Bida Nok, Koh Doc Mai, Palong Wall, Phi Phi Islands, Racha Noi Island, Racha Yai Island, Shark Point (Hin Musang), Similan Islands, Turtle Rock, Banana Bay, Bungalow Bay",,,
Lost Reef Adventures,"261 Margaret St #6639, Key West, FL 33040, United States",https://www.lostreefadventures.com/,Key West,Florida,United States,North America, +1 305-296-9737 , info@lostreefadventures.com ,"Open Water Diver, Open Water Scuba Diver, Advanced Adventurer, Rescue Diver, Stress & Rescue Diver, Enriched Air Nitrox, Night Diver, Discover Scuba Diving, Junior Open Water Diver","Wetsuit, Regulator, Fins, Mask, BCD, Snorkel, Dive Computer",Nitrox,Dive Resort,"Cayman Salvage, Joe’s Tug, Sambos Reef, USNS General Hoyt S. Vandenberg",,,
Lotus Diving,"57/6 Moo 7, Chaloklum, Koh Phangan 84280, Surat Thani, Thailand",https://lotusdiving.com/,Koh Phangan,Surat Thani,Thailand,Southeast Asia, +66 89 469 4719 , info@lotusdiving.com ,"Advanced Nitrox, Deco Procedures, Trimix Diver, Tech 1, Cave 1","Regulator, BCD, Dive Computer","Nitrox, Trimix",Dive Shop,"Chumphon Pinnacle, HTMS Sattakut (wreck), Koh Yippon Lek, Sail Rock, Shark Point (Hin Musang), Southwest Pinnacle, Chaloklum West Lighthouse, Haad Salad, Koh Ma, Koh Kong",,,
Lumbadive,"Tyrrel Bay, Carriacou, Grenada",https://www.lumbadive.com/,Tyrrel Bay,Aceh,Grenada,Caribbean,+1 473-457-4539, dive@lumbadive.com ,"Open Water Diver, Open Water Scuba Diver, One Star Diver (★), Open Water 20, Advanced Adventurer, Two Star Diver (★★), Advanced 35, Stress & Rescue Diver, Three Star Diver (★★★), Enriched Air Nitrox, Divemaster, Advanced Nitrox, Deco Procedures, Trimix Diver, Junior Open Water Diver, Try Scuba / Intro Scuba, Introductory Scuba","Wetsuit, Regulator, Fins, Mask, BCD, Snorkel","Nitrox, Trimix",Dive Shop,"Grenada, Tyrrell Bay",,,
LumbaLumba Diving Manado,"Jl. Trans Sulawesi, Mokupa, Kec. Tombariri, Kabupaten Minahasa, Sulawesi Utara 95651, Indonesia",https://www.lumbalumbadiving.com/,Manado,Sulawesi Utara,Indonesia,Southeast Asia, +62 812-4302-974 , info@lumbalumbaresort.com ,"Open Water Diver, Scuba Diver, Advanced Open Water Diver, Rescue Diver, Deep Diver, Enriched Air Nitrox, Wreck Diver, Night Diver, Underwater Navigator, Divemaster, Open Water Scuba Instructor, Master Scuba Diver Trainer, Course Director, Discover Scuba Diving, Junior Open Water Diver","Wetsuit, Regulator, Fins, Mask, BCD, Snorkel",Nitrox,Dive Resort,"Manado Tua, Barracuda Point, Hora Point, Batu Kapal, Nain, Helga Point, Jalan Masuk, Bunaken National Marine Park North, Celebes Sea, Tangkasi, Montage Point, Buhias, Gorango, Bango, Tanjung Kopi, Pangalingan Tanjung Parigi, Bualo, Raymond's Point, Negeri, Tengah, Mandolin, Mike's Point, Sachiko's Point, Benny's Point, Ron's Point, Fukui, Johnson's Wall, Alung Banua, Siladen Utara, Siladen Timur, Siladen, Ghuntur's, Bunaken Timur Tihawo, Bunaken Timur 2, Pangalisan, Bunaken, DJ Point, Abang Kalumpang Gabet, Bahowo, Sal's Point, Muka Kampung, Lekuan I, Lekuan II, Lekuan III, Tanjung Pisok, Napo Mera's, Batu Hitam, Molas Shipwreck, Bunaken National Marine Park South, Tanjung Arus, North Talise Pinnacles, Aer Banua, Talise, Gangga, Lihaga North East, Tanjung Torowitan, Lihaga South East, Teluk Kora Kora, Batu Gosok, Bangka, Maluku Sea, Gangga Lake, Sahaung Lagoon, Tanjung Usi, Tanjung Toto, Sabina Timur, Sahaung Batu, Paradise Jetty, Likupang, Mapanget, Marina Reclamation Point, Manado, Mount Klabat, New Mandarin Point, 45 Bananas, Tagaroa Point, Lumbalumba, PooPoh 2, PooPoh, Pygmy Point, Critter Circus, Batu Mandi, Tanjung Pulisan, Batu Pendeta, Tangkoko National Park, Mount Dua Sudara, Batu Angus, AW Shucks, Hairball, Hairball II, Magic Rock, Retak Larry, Slow Poke, Magic Crack, Nudi Retreat, Makawide Pier, Jahir, Air Pang, Nudi Falls, Police Pier, Rina Wreck, Serena West, Bimoli Wreck, Pantai Kecil, Jiko Yansi, Kaina's Treasure, California Dreaming, Pulau Putus, Batu Merah, Angels Window, Batu Sandar, Tanjung Tebal, Pantai Parigi, Pintu Kolada, Serena North, Mawali Wreck, Tomohon, Madidir, Pulau Abadi, Goby and Crab, Kapal Indah, Lembeh Strait, Pulau Dua",,https://lumbalumbaresort.com/wp-content/uploads/New-Map-Oktober-2023-copy.jpg,
Lynnhaven Dive Center,"2204 Poplar Point Rd, Virginia Beach, VA 23454, United States",https://www.ldcscuba.com/,Virginia Beach,Virginia,United States,North America, +1 757-481-7949 , ldcsales@ldcscuba.com ,"Open Water Diver, Advanced Open Water Diver, Rescue Diver, Deep Diver, Wreck Diver, Enriched Air Nitrox, Night Diver, Underwater Navigator, Dry Suit Diver, Divemaster, Divemaster / Assistant Instructor, Open Water Scuba Instructor, Master Scuba Diver Trainer, Course Director, Discover Scuba Diving, Junior Open Water Diver","Regulator, Wetsuit, BCD, Hood, Drysuit, Dive Computer",Nitrox,Dive Shop,"Beaufort NC, Blue Grotto, Chuuk Lagoon, Cozumel, Destination Diving, Devil’s Den, Ginnie Springs - Devil’s Eye/Devil’s Ear, Key Largo, Roatán, Truk Atoll, Kiyosumi Maru, Yamagiri Maru, Fumitzuki Destroyer, Shinkoku Maru, Nippo Maru, Heian Maru, Unkai Maru, Sankisan Maru, Rio De Janeiro, Hoki Maru, Fujikawa Maru, Seiko Maru, Kensho Maru, I-169 Japanese Submarine, San Francisco Maru",,,
Maafushi Dive & Watersports,"Gulfaam Villa, K. Maafushi, 08090, Maldives",https://www.maafushidive.com/,Maafushi,Kaafu Atoll,Maldives,South Asia, +960 991-1116 , info@maafushidive.com ,"Open Water Diver, Advanced Open Water Diver, Advanced Adventurer, Rescue Diver, Stress & Rescue Diver, Deep Diver, Enriched Air Nitrox, Night Diver, Underwater Navigator, Discover Scuba Diving, Junior Open Water Diver","Wetsuit, Regulator, Fins, BCD, Dive Computer",Nitrox,Dive Shop,"Dhigu Thila, Kandooma Thila, Kuda Giri, Cocoa Corner, Guraidhoo, Sexy Reef, Miyaru Faru, Embudhoo Express, Vadhoo Caves",,,
Mac's Sports Inc.,"2126 Drew St.Clearwater, FL 33765",https://macssports.com/,Clearwater,Florida,United States,North America,727-442-9931, clearwater@macssports.com ,"Discover Scuba Diving, Scuba Diver, Open Water Diver, Advanced Open Water Diver, Rescue Diver, Enriched Air Nitrox, Divemaster, Open Water Scuba Instructor","Snorkel, Fins, Mask, BCD",Nitrox,Dive Shop,,,"No Dive sites - Scuba lessons, Certs, rentals, etc",
Mad Fish Dive Centre,"Matava Resort, Kadavu, Fiji",https://matava.com/,Kadavu,Kadavu Province,Fiji,Pacific Islands,(+679) 603 0684, info@matava.com ,"Open Water Diver, Scuba Diver, Advanced Open Water Diver, Rescue Diver, Deep Diver, Enriched Air Nitrox, Wreck Diver, Night Diver, Underwater Navigator, Divemaster, Divemaster / Assistant Instructor, Open Water Scuba Instructor, Master Scuba Diver Trainer, Course Director, Discover Scuba Diving, Junior Open Water Diver, Try Scuba / Intro Scuba","Wetsuit, Regulator, Fins, Mask, BCD, Snorkel, Dive Computer",Nitrox,Dive Resort,"Kadavu island, Great Astrolabe Reef",,,
Maldives Aggressor II,"Aggressor Adventures, 209 Hudson Trace, Augusta, GA 30907, USA",https://www.aggressor.com/destination/Maldives,Malé,Caicos Islands,Maldives,South Asia,706-993-2531, Maldives@aggressor.com ,"Open Water Diver, Discover Scuba Diving, Junior Open Water Diver","Wetsuit, Regulator, Fins, Mask, BCD, Snorkel",,Liveaboard,"Alimatha House Reef (Nurse Shark Night), Fushivaru Thila, Hanifaru, Kandooma Thila, Kudarah Thila, Kudhimaa Wreck, Kuredhdhoo Kandu, Maamigili Beyru (Whale Shark Zone), Maaya Thila, Manta Point, Meemu, Miyaru Kandu (Shark Channel), North Ari, North Male, South Ari, South Male, Vaavu, Rasfari Corner, Bathalaamaagaa Kanthila, Moofushi Kandu (Manta Point), Muli Corner",,,
Maldives Master,"Master Liveaboards, 30 Gay Street, Bath BA1 2PA, UK",https://masterliveaboards.com/boats/Maldives-master/,Malé,Malé,Maldives,South Asia, +960 330-4885 , dive@masterliveaboards.com ,"Open Water Diver, Scuba Diver, Advanced Open Water Diver, Advanced Scuba Diver, Rescue Diver, Enriched Air Nitrox, Divemaster, Divemaster / Assistant Instructor, Discover Scuba Diving, Junior Open Water Diver, Try Scuba / Intro Scuba","Wetsuit, Regulator, Fins, Mask, BCD, Drysuit, Hood, Boots, Snorkel, Dive Computer","Nitrox, Trimix",Liveaboard,"Abu Nuhas / Carnatic, Abu Nuhas / Chrisoula K, Abu Nuhas / Giannis D, Addu, Al Kafain, Apo Island Marine Reserve, Apo Reef Natural Park, Baa, Balicasag Island, Banda Sea, Big Drop-Off, Bikini Atoll, Blue Corner, Burma Banks, Cabilao Island, Carnatic, Cebu Island, Chuuk Lagoon, Danaba (Shag Rock), Dauin, Destination Diving, Dunraven, El Mina, Fury Shoals - Abu Galawa Soraya, Fury Shoals - Malahi, Fury Shoals - Sataya, Fury Shoals - Sha’ab Claudio, Fuvahmulah, Galapagos Islands, German, Giannis D, Halmahera, Hin Daeng, Hin Muang, Huvhadoo, Koh Bon, Koh Haa - Cathedral, Koh Lipe, Koh Phi Phi Ley, Koh Tachai Pinnacle, Komodo, Laamu, Lembeh Strait, Lhaviyani, Malapascua Island, Meemu, Mergui Archipelago, Mohamed Hassabella, North Ari, North Male, Panglao Island, Peleliu Wall, Pescador Island, Raja Ampat, Ras Mohammed, Rasdhoo, Richelieu Rock, Rocky Island, Rosalie Moller, Salem Express, Sha’ab El Erg (Dolphin Reef), Similan Islands, Similan National Park, South Ari, South Male, Southern Leyte, Southern Visayas, Straits of Tiran - Gordon, Straits of Tiran - Jackson, Straits of Tiran - Thomas, Straits of Tiran - Woodhouse, Surin Islands, Thaa, Thistlegorm, Triton Bay, Tubbataha Reef - North Atoll Wall, Tubbataha Reef - South, USS Saratoga, Vaavu, Leru Cut, Kavachi Corner, Taiyo Fishing Boat, Mbulo Island Cathedral, Marovo Lagoon, Mirror Pond, Guadalcanal, Russell Islands, Mary Island, New Georgia Rendova",,,
Malibu Divers,"21231 CA-1, Malibu, CA 90265",https://Malibudivers.com/,Malibu,California,United States,North America, +1 310-456-2396 , info@Malibudivers.com ,"Scuba Diver, Discover Scuba Diving, Open Water Diver, Advanced Open Water Diver, Rescue Diver, Junior Open Water Diver, Deep Diver, Enriched Air Nitrox, Wreck Diver, Night Diver, Underwater Navigator, Marine Ecology, Divemaster, Divemaster / Assistant Instructor, Open Water Scuba Instructor, Master Scuba Diver Trainer, Course Director","BCD, Regulator, Snorkel","Hydrox, Nitrox",Dive Shop,"Avalon, Banda Sea, Barges at Maury Island, Destination Diving, Georgia Straights, Olympic II, Palawan, Star of Scotland, Wakatobi",,Boat dive map too small - https://malibudivers.com/products/boats-dives,
Manta Dive Gili Trawangan,"Gili Trawangan, Jalan Raya Trawangan, Lombok, Nusa Tenggara Bar. 83352, Indonesia",https://www.mantadive.com/,Gili Trawangan,Nusa Tenggara Bar.,Indonesia,Southeast Asia, +62 812-3788-9378 , bookings@manta-dive.com ,,,,Dive Resort,"Air Harbour, Air Wall, Biorocks, Bounty Wreck, Deep Turbo, Gili Islands, Good-heart Reef, Halik, Hans Reef, Linda's Reef, Manta Point, Meno Wall, Seahorse Bay, Secret Reef, Shallow Turbo, Shark Point, Simon's Reef, Takat Malang",,,
Manta Divers Cancun,"Manta Divers & Snorkel Boulevard Kukulcan Km 15+656, Zona Hotelera, 77500 Cancún, Quintana Roo, Mexico",https://mantadivers.com/,Cancún,Quintana Roo,Mexico,North America, +52 998 224 5660 , Info@mantadivers.com ,"Scuba Diver, Open Water Diver, Enriched Air Nitrox, Advanced Open Water Diver, Rescue Diver, Divemaster, Try Scuba / Intro Scuba, Advanced Adventurer","BCD, Regulator, Fins, Mask, Boots, Snorkel, Wetsuit",Nitrox,Dive Shop,"C-58 Shipwreck, Cancun, Cozumel, Isla Mujeres, MUSA Underwater Museum, Manchones, Riviera Maya Cenotes",,,
Manta Rhei,"Jl. Soekarno Hatta No.16, Labuan Bajo, Flores, Indonesia",https://mantarhei.com/,Labuan Bajo,Nusa Tenggara Tim.,Indonesia,Southeast Asia, +62 821-4731-0340 , info@mantarhei.com ,"Open Water Diver, Open Water Scuba Diver, Scuba Diver, Discover Scuba Diving, Try Scuba / Intro Scuba, Introductory Scuba, Advanced Open Water Diver, Advanced Adventurer, Rescue Diver, Stress & Rescue Diver, Deep Diver, Enriched Air Nitrox, Wreck Diver, Night Diver, Underwater Navigator, Dry Suit Diver, Divemaster, Divemaster / Assistant Instructor, Open Water Scuba Instructor","Wetsuit, BCD, Regulator",Nitrox,"Liveaboard, Dive Shop","Batu Bolong, Castle Rock, Crystal Rock, Komodo, Labuan Bajo, Siaba Besar, Tatawa Besar, The Cauldron (Shotgun)",,,
Manta Scuba Diving,"Blvd. Paseo de la Marina 7D, Centro, Marina, 23450 Cabo San Lucas, B.C.S., Mexico",https://mantacabo.com/,Cabo San Lucas,B.C.S.,Mexico,North America, +52 624 144 3871 , mantascuba@gmail.com ,"Open Water Diver, Scuba Diver, Discover Scuba Diving, Try Scuba / Intro Scuba, Introductory Scuba, Advanced Open Water Diver, Advanced Adventurer, Rescue Diver, Deep Diver, Enriched Air Nitrox, Wreck Diver, Night Diver, Underwater Navigator, Dry Suit Diver, Divemaster",Drysuit,Nitrox,Dive Resort,"Cabo Pulmo, Gordo Banks, La Paz, Los Cabos, Cabo San Lucas Marine Reserve, Sand Falls at Pelican Rock, Neptune’s Finger, Sea Lions Colony, Twin Dolphin, Los Morros, Whales Head, Chileno, The Blow Hole",,,
Marissa Dive Charters,"1010 Santa Clara Pl, San Diego, CA 92109, United States",https://www.marissacharters.com/,San Diego,California,United States,North America, +1 619-757-3280 , captlora@marissacharters.com ,"Open Water Diver, Open Water Scuba Diver, Discover Scuba Diving, Try Scuba / Intro Scuba, Advanced Open Water Diver, Advanced Adventurer, Rescue Diver, Deep Diver, Night Diver, Underwater Navigator, Divemaster",,Nitrox,Dive Shop,"Anchor Management, Ancient Caverns, Ancient Sea Cliffs, Bird Rock, Captains Mast, Chris's Rock, Connor's Canyon, Corsair Wreck, Divers Disneyland, El Rey (Wreck Alley), God's Rock, HMC Yukon (Wreck Alley), High Spot Pinnacle, Ingraham St Bridge, Murray Head Ocean Mound, NOSC Tower Wreck, P38 Lightning, Puzzle Piece Wall, Quast Rock, Scout's Out, Scripps Canyon (La Jolla), Strawberry Ledges, Train Wheels (Point Loma), USCGC Ruby-E, USS Hogan, F-4 Phantom II Wreck, Missile Tower Technical",,Coronado Islands dive map 404,
Marlin Tremiti,"Via A. Vespucci, snc - 71040 Isole Tremiti, Italy",https://www.marlintremiti.com,San Domino,Puglia,Italy,Europe, +39 336 829 746 , info@marlintremiti.com ,"Discover Scuba Diving, Try Scuba / Intro Scuba, Advanced Open Water Diver, Advanced Adventurer, Rescue Diver","Wetsuit, Regulator, Drysuit, Dive Computer, Mask, Fins, BCD, Snorkel",,Dive Shop,"La Secca della Vedova, Cala Sorrentino, Cala dei Turchi, Cala Caffè, Punta Secca, La Secca di Punta Secca, La Murata, Il Pianoro delle Cernie, La Secca del Ferraio, Il Lombardo, La Secca di Santa Maria, La Secca dei Turchi, Il B24, Punto 55, La Secca Capitelli, La Secca del Pedagno, Gli Archi, La Parete Nera, I Picchi di Elena, Lo Scoglio del Sale, La Grotta del Sale, La Mina, Lo Scoglio Segato, Grotta del Ferraio, Scoglio della Cernia, I Lastroni, Le Piastre, La Nave delle Tegole, Il Caccia della II° G. M., Il Pielago Barlettano, Punta del Corvo, Il Grosso 2, Punta Romito, Il Grottone, La Secca del Cretaccio, Grotta delle Viole, Punta Elefante",,,
Mass Diving,"4 Walnut Lane Medway, MA 02053",https://www.massdiving.com/,Natick,Massachusetts,United States,North America,508-651-0772, mark@massdiving.com ,"Try Scuba / Intro Scuba, Open Water Diver, Scuba Diver, Wreck Diver, Advanced Adventurer, Stress & Rescue Diver, Deep Diver, Enriched Air Nitrox, Divemaster, Discover Scuba Diving, Introductory Scuba","Wetsuit, Regulator, Fins, Mask, BCD, Snorkel, Dive Computer",Nitrox,"Liveaboard, Dive Shop",Destination Diving,,,
